ID,data,No
4V,-0.221519116749503,5
3H,-0.0304061993612774,5
3V,-0.142620477041833,5
4H,0.0495717373776908,5
4V,-0.0259441516500994,5
3H,-0.0273627575249501,5
3V,0.0173164119023904,5
4H,0.107231599021526,5
4V,-0.214036945616302,5
3H,0.126883022115768,5
3V,0.0405694753386454,5
4H,0.0576414878669276,5
4V,0.0017556718389662,5
3H,0.198535035528942,5
3V,0.0127884073804781,5
4H,0.0526083545988258,5
4V,0.168148954880716,5
3H,0.192637223393214,5
3V,-0.0302458447111554,5
4H,0.0815040389432485,5
4V,-0.0675394358151093,5
3H,0.128096739401198,5
3V,0.0583719381573705,5
4H,0.0501097207436399,5
4V,-0.0648004267395626,5
3H,0.0239183225548902,5
3V,0.112119230438247,5
4H,0.108462983170254,5
4V,0.161152639015905,5
3H,0.210446542355289,5
3V,0.0441809534760956,5
4H,0.122402729941292,5
4V,0.131248247246521,5
3H,0.229927009740519,5
3V,-0.016801434501992,5
4H,0.0621485929549902,5
4V,0.135256553210736,5
3H,0.147808971896208,5
3V,0.111627583834661,5
4H,0.0189604838551859,5
4V,0.1724305544334,5
3H,-0.0261246439121756,5
3V,-0.0593804582569721,5
4H,-0.0634107470645793,5
4V,-0.0476618821471173,5
3H,-0.0445072765668663,5
3V,0.11777620123506,5
4H,-0.0584792328767123,5
4V,0.270457928021869,5
3H,-0.15473598259481,5
3V,-0.0109805815039841,5
4H,0.0204787924657534,5
4V,-0.0204418407355865,5
3H,-0.241166071297405,5
3V,0.071209377250996,5
4H,-0.0998919968688846,5
4V,0.160399563349901,5
3H,-0.242428581237525,5
3V,-0.0488859276693227,5
4H,-0.167181760763209,5
4V,-0.0854249828827038,5
3H,-0.200997518323353,5
3V,-0.158941930338645,5
4H,-0.0748219720156556,5
4V,-0.16550607749503,5
3H,-0.188494400558882,5
3V,0.0814793285258964,5
4H,-0.0239466783757339,5
4V,0.0167503800596421,5
3H,-0.174740971017964,5
3V,-0.0957805160557769,5
4H,-0.0890307104696673,5
4V,-0.0801777459840954,5
3H,-0.13580443257485,5
3V,-0.0948032925597609,5
4H,-0.11160210146771,5
4V,-0.355445121481113,5
3H,-0.0874509117764471,5
3V,0.0216501856673307,5
4H,-0.0380478201565558,5
4V,-0.0614844645328032,5
3H,-0.0304488929341317,5
3V,-0.0459481874701195,5
4H,0.0822691708414873,5
4V,-0.310151264085487,5
3H,0.0650383322954092,5
3V,0.00949255422310757,5
4H,0.0142620957925636,5
4V,-0.0815502871172962,5
3H,0.169143560159681,5
3V,0.0850786672410359,5
4H,-0.00110629569471624,5
4V,0.00409385031809145,5
3H,0.205506286067864,5
3V,-0.273143545727092,5
4H,0.067145860665362,5
4V,-0.20732606972167,5
3H,0.207823937165669,5
3V,0.0537710971015936,5
4H,0.0731892071428571,5
4V,0.139787153588469,5
3H,0.183854545548902,5
3V,-0.023872647998008,5
4H,0.12631805332681,5
4V,0.0380733531510934,5
3H,0.102559883752495,5
3V,-0.0185798598705179,5
4H,0.110405700880626,5
4V,0.142933066451292,5
3H,0.165166958802395,5
3V,0.191662795129482,5
4H,0.0878223546966732,5
4V,-0.0270616187673956,5
3H,0.120357004550898,5
3V,-0.0344885728087649,5
4H,0.124315559686888,5
4V,0.214766767882704,5
3H,0.0945517893013972,5
3V,0.168452219671315,5
4H,0.0944813932485323,5
4V,0.186945480576541,5
3H,0.0562617535329341,5
3V,-0.0103675406772908,5
4H,-0.0123083048923679,5
4V,0.173007507564612,5
3H,-0.102619328303393,5
3V,-0.0448677788844622,5
4H,-0.0136711960861057,5
4V,0.0575865153677932,5
3H,-0.135651955528942,5
3V,0.123414962898406,5
4H,-0.0938725607632094,5
4V,0.0629734356560636,5
3H,-0.195002120878244,5
3V,-0.273744447131474,5
4H,-0.0410665045988258,5
4V,0.198678885308151,5
3H,-0.2833229249501,5
3V,0.06044777937251,5
4H,-0.151400915362035,5
4V,-0.093356570139165,5
3H,-0.138036696526946,5
3V,-0.0060034183565737,5
4H,-0.158466430234834,5
4V,-0.122908716838966,5
3H,-0.0926168340918164,5
3V,-0.264955505378486,5
4H,-0.103173695401174,5
4V,-0.21086673999006,5
3H,-0.147923308183633,5
3V,0.204955462559761,5
4H,-0.0477614087084149,5
4V,-0.215943927544732,5
3H,-0.204614273852295,5
3V,-0.293944445856574,5
4H,0.000382124951076319,5
